ISIN,Sub-Fund,Asset Type,Country,Description,Currency,Quantity,Market value (note 2),% of net assets
,FIXED INCOME,BONDS,JAPAN,0.321%  - ASAHI GROUP HOLDINGS 17/21 -SR- ,EUR ,"450,000.00","453,761.10",1.87
,FIXED INCOME,BONDS,JAPAN,0.934%  - SUMITOMO MITSUI FINANCIAL 17/24 -SR- ,EUR ,"580,000.00","597,764.24",2.46
,FIXED INCOME,BONDS,LUXEMBOURG,0.50%  - LOGICOR FINANCING 19/21 -SR- ,EUR ,"300,000.00","302,599.50",1.25
,FIXED INCOME,BONDS,LUXEMBOURG,1.375%  - DREAM GLOBAL FUNDING 17/21 -SR-S ,EUR ,"500,000.00","509,291.50",2.1
,FIXED INCOME,BONDS,LUXEMBOURG,1.40%  - BLACKSTONE PROPERTY 18/22 -SR- ,EUR ,"450,000.00","461,003.85",1.9
,FIXED INCOME,BONDS,NETHERLANDS,0.50%  - VOLKSWAGEN INTERNATIONAL FINANCE 17/21 -SR- ,EUR ,"600,000.00","604,389.60",2.49
,FIXED INCOME,BONDS,NETHERLANDS,0.75%  - RABOBANK 18/23 -SR- ,EUR ,"500,000.00","513,168.50",2.11
,FIXED INCOME,BONDS,SPAIN,0.50%  - SANTANDER CONSUMER FINANCE 17/21 -SR-S ,EUR ,"600,000.00","608,411.40",2.5
,FIXED INCOME,BONDS,SWEDEN,0.50%  - SKANDINAVISKA ENSKILDA BANKEN 18/23 -SR- ,EUR ,"500,000.00","510,325.00",2.1
,FIXED INCOME,BONDS,SWITZERLAND,1.125%  - CREDIT SUISSE LONDON 15/20 ,EUR ,"500,000.00","508,243.50",2.09
,FIXED INCOME,BONDS,UNITED KINGDOM,1.117%  - BP CAPITAL MARKETS 16/24 -SR-S ,EUR ,"600,000.00","627,581.40",2.57
,FIXED INCOME,BONDS,UNITED KINGDOM,1.134%  - FCE BANK 15/22 -SR-S ,EUR ,"300,000.00","301,476.00",1.24
,FIXED INCOME,BONDS,UNITED STATES,0.35%  - AMERICAN HONDA FINANCE 19/22 -SR- ,EUR ,"600,000.00","607,234.80",2.5
,FIXED INCOME,BONDS,UNITED STATES,0.375%  - METROPOLITAN LIFE 19/24 -SR-S ,EUR ,"600,000.00","607,734.60",2.5
,FIXED INCOME,BONDS,UNITED STATES,0.375%  - UNITED PARCEL SERVICE 17/23 -SR- ,EUR ,"600,000.00","609,034.20",2.51
,FIXED INCOME,BONDS,UNITED STATES,0.95%  - IBM 17/25 -SR- ,EUR ,"600,000.00","624,307.20",2.57
,FIXED INCOME,BONDS,UNITED STATES,1.00%  - ELI LILLY 15/22 -SR- ,EUR ,"600,000.00","620,221.20",2.55
,FIXED INCOME,BONDS,UNITED STATES,1.125%  WELLS FARGO 14/21 '59' -SR-S ,EUR ,"600,000.00","617,244.00",2.54
,FIXED INCOME,BONDS,UNITED STATES,1.375%  - ABBVIE 16/24 -SR- ,EUR ,"500,000.00","523,118.50",2.15
,FIXED INCOME,BONDS,UNITED STATES,1.875%  - CARGILL INC 12/19 -SR-S ,EUR ,"600,000.00","602,243.40",2.48
,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,GERMANY,ISHARES DJ EURO STOXX 600 (DE) ,EUR ,"15,740.00","602,605.90",2.48
,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,IRELAND,ISHARES VII - MSCI JAPAN B USD -ACC- ,JPY ,"2,090.00","265,397.42",1.09
,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,MAINFIRST - TOP EUROPEAN IDEAS FUND R ,EUR ,"1,340.00","185,442.60",0.76
,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,SISF - ASIAN TOTAL RETURN - C -CAP- ,USD ,690,"180,679.91",0.74
,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,SWITZERLAND,PICTET CH - SHORT-TERM MONEY MARKET CHF - I DY ,CHF ,65,"52,757.29",0.22
,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,SWITZERLAND,PICTET CH - SHORT-TERM MONEY MARKET EUR - I DY ,EUR ,"1,687.87","1,627,431.76",6.69
,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,SWITZERLAND,PICTET CH - SHORT-TERM MONEY MARKET GBP - I DY ,GBP ,20,"22,601.71",0.09
,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,SWITZERLAND,PICTET CH - SHORT-TERM MONEY MARKET USD - I DY ,USD ,380,"344,038.81",1.42
,ORION,SHARES,FRANCE,CAPGEMINI ,EUR ,"1,020.00","111,537.00",1.1
,ORION,SHARES,FRANCE,SANOFI ,EUR ,"1,200.00","91,092.00",0.9
,ORION,SHARES,FRANCE,TOTAL ,EUR ,24,"1,182.60",0.01
,ORION,SHARES,FRANCE,VEOLIA ENVIRONNEMENT ,EUR ,"5,330.00","114,168.60",1.13
,ORION,SHARES,GERMANY,ALLIANZ ,EUR ,700,"148,400.00",1.47
,ORION,SHARES,GERMANY,DEUTSCHE TELEKOM REG. ,EUR ,"6,400.00","97,356.80",0.96
,ORION,SHARES,GERMANY,E.ON ,EUR ,"11,000.00","105,061.00",1.04
,ORION,SHARES,GERMANY,SAP ,EUR ,"1,000.00","120,760.00",1.19
,ORION,SHARES,NETHERLANDS,ROYAL PHILIPS ,EUR ,"2,500.00","95,462.50",0.94
,ORION,SHARES,SWITZERLAND,ABB ,CHF ,"5,400.00","95,274.38",0.94
,ORION,SHARES,SWITZERLAND,NESTLE ,CHF ,"1,300.00","118,323.38",1.17
,ORION,SHARES,SWITZERLAND,NOVARTIS  ,CHF ,"1,500.00","120,504.71",1.19
,ORION,SHARES,SWITZERLAND,SWISS LIFE HOLDING ,CHF ,370,"161,218.74",1.59
,ORION,SHARES,SWITZERLAND,UBS GROUP REG. ,CHF ,"6,100.00","63,728.80",0.63
,ORION,SHARES,UNITED KINGDOM,DIAGEO ,GBP ,"3,859.00","145,943.16",1.44
,ORION,SHARES,UNITED KINGDOM,ROYAL DUTCH SHELL 'A' ,EUR ,"3,660.00","105,078.60",1.04
,ORION,SHARES,UNITED STATES,3M COMPANY ,USD ,550,"83,717.07",0.83
,ORION,SHARES,UNITED STATES,AMGEN ,USD ,700,"113,273.62",1.12
,ORION,SHARES,UNITED STATES,APPLE ,USD ,500,"86,898.49",0.86
,ORION,SHARES,UNITED STATES,AT&T ,USD ,"3,500.00","102,989.99",1.02
,ORION,SHARES,UNITED STATES,COCA-COLA ,USD ,"2,500.00","111,784.33",1.11
,ORION,SHARES,UNITED STATES,MCDONALD'S ,USD ,710,"129,468.39",1.28
,ORION,SHARES,UNITED STATES,PFIZER ,USD ,"2,700.00","102,708.11",1.02
,ORION,CERTIFICATES,UNITED STATES,3.021%  - FORD MOTOR CREDIT 19/24 S5 -SR- ,EUR ,"300,000.00","318,141.00",3.16
,ORION,BONDS,AUSTRALIA,1.125%  - MACQUARIE BANK 15/22 -SR-S ,EUR ,"250,000.00","257,615.00",2.55
,ORION,BONDS,NETHERLANDS,0.50%  - VOLKSWAGEN INTERNATIONAL FINANCE 17/21 -SR- ,EUR ,"300,000.00","302,194.80",2.99
,ORION,BONDS,NETHERLANDS,0.625%  - DAIMLER INTERNATIONAL FINANCE 19/23 -SR- ,EUR ,"300,000.00","305,336.40",3.02
,ORION,BONDS,NETHERLANDS,1.50%  - JAB HOLDINGS 14/21 -SR-S ,EUR ,"300,000.00","311,480.10",3.08
,ORION,BONDS,UNITED STATES,1.30%  - AT&T 15/23 -SR-S ,EUR ,"250,000.00","261,514.00",2.59
,ORION,BONDS,UNITED STATES,1.95%  - PFIZER 16/21 -SR- ,USD ,"200,000.00","175,253.78",1.73
,ORION,BONDS,UNITED STATES,2.00%  - ROCHE HOLDINGS USA 15/20 -SR-S ,USD ,"200,000.00","175,402.88",1.74
,ORION,BONDS,UNITED STATES,2.25%  - US TREASURY 14/21 'K-2021' ,USD ,"200,000.00","177,122.44",1.75
,ORION,BONDS,UNITED STATES,2.25%  - US TREASURY 18/20 'AX-2020' ,USD ,"200,000.00","175,880.72",1.74
,ORION,BONDS,UNITED STATES,2.85%  - APPLE 14/21 -SR- ,USD ,"200,000.00","178,290.13",1.76
,ORION,BONDS,UNITED STATES,2.875%  - US TREASURY 18/20 ,USD ,"200,000.00","177,949.10",1.76
,ORION,STRUCTURED PRODUCTS,GERMANY,GOLD (DEUTSCHE BOERSE COMMODITIES) CERT. 07/PERP ,EUR ,"12,000.00","478,152.00",4.74
,ORION,II. UNITS OF INVESTMENT FUNDS,GLOBAL,JUPITER GF - DYNAMIC BOND D EUR -ACC- ,EUR ,"24,500.00","313,110.00",3.1
,ORION,II. UNITS OF INVESTMENT FUNDS,IRELAND,COMGEST GROWTH - EMERGING MARKETS I USD -ACC- ,USD ,"6,000.00","215,489.99",2.13
,ORION,II. UNITS OF INVESTMENT FUNDS,IRELAND,NB INVESTMENT FUNDS - CORPORATE HYBRID FUND P EUR ,EUR ,"19,200.00","203,904.00",2.02
,ORION,II. UNITS OF INVESTMENT FUNDS,LIECHTENSTEIN,B&I ASIAN REAL ESTATE SECURITIES A ,USD ,750,"162,730.51",1.61
,ORION,II. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,AXA WF - GLOBAL INFLATION BONDS I EUR -CAP- ,EUR ,"1,300.00","208,338.00",2.06
,ORION,II. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,LGT (LUX) I - CAT BOND FUND C EUR -ACC- ,EUR ,"4,200.00","481,530.00",4.77
,ORION,II. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,LO FUNDS - COMMODITIES RISK PREMIA N EUR SYSTEM H -ACC.-  EUR ,"36,000.00","190,299.60",1.88,
,ORION,II. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,UBS ETF - MSCI JAPAN HEDGED EUR A -ACC- ,EUR ,"10,150.00","196,260.40",1.94
,AC FUND BALANCED,SHARES,BELGIUM,ION BEAM APPLICATIONS ,EUR ,"15,000.00","200,100.00",0.53
,AC FUND BALANCED,SHARES,CANADA,ELDORADO GOLD ,USD ,"92,000.00","470,179.14",1.25
,AC FUND BALANCED,SHARES,CAYMAN ISLANDS,ALIBABA GROUP HOLDING ADR -SPONS.- ,USD ,"3,800.00","565,428.52",1.5
,AC FUND BALANCED,SHARES,GERMANY,ADIDAS ,EUR ,"5,000.00","1,357,500.00",3.61
,AC FUND BALANCED,SHARES,GERMANY,BMW BAYERISCHE MOTOREN WERKE ,EUR ,"10,500.00","683,445.00",1.81
,AC FUND BALANCED,SHARES,GERMANY,DAIMLER ,EUR ,"14,800.00","724,090.00",1.92
,AC FUND BALANCED,SHARES,GERMANY,HENKEL VORZ. -OSR- ,EUR ,"10,300.00","886,006.00",2.35
,AC FUND BALANCED,SHARES,GERMANY,PORSCHE AUTOMOBILE HOLDING VORZ. -NVTG- ,EUR ,"14,000.00","799,960.00",2.12
,AC FUND BALANCED,SHARES,GERMANY,PUMA ,EUR ,"21,000.00","1,231,650.00",3.26
,AC FUND BALANCED,SHARES,GERMANY,SAP ,EUR ,"7,000.00","845,320.00",2.24
,AC FUND BALANCED,SHARES,GERMANY,VOLKSWAGEN VORZ. -OSR- ,EUR ,"5,700.00","844,854.00",2.24
,AC FUND BALANCED,SHARES,NETHERLANDS,AIRBUS ,EUR ,"6,700.00","835,356.00",2.21
,AC FUND BALANCED,SHARES,SPAIN,INDITEX INDUSTRIA DE DISENO TEXTIL ,EUR ,"41,000.00","1,084,450.00",2.87
,AC FUND BALANCED,SHARES,SWITZERLAND,NESTLE ,CHF ,"12,500.00","1,137,724.82",3.02
,AC FUND BALANCED,SHARES,SWITZERLAND,NOVARTIS  ,CHF ,"15,000.00","1,205,047.15",3.19
,AC FUND BALANCED,SHARES,SWITZERLAND,ROCHE HOLDING D.RIGHT ,CHF ,"4,500.00","1,113,115.02",2.95
,AC FUND BALANCED,SHARES,SWITZERLAND,SWISS LIFE HOLDING ,CHF ,"2,800.00","1,220,033.68",3.23
,AC FUND BALANCED,SHARES,UNITED STATES,KRAFT HEINZ ,USD ,"34,000.00","926,729.89",2.46
,AC FUND BALANCED,SHARES,UNITED STATES,NEWMONT GOLDCORP ,USD ,"11,480.00","387,807.87",1.03
,AC FUND BALANCED,BONDS,AUSTRALIA,6.25%  - SUB. BHP BILLITON FINANCE USA 15/75 ,USD ,"450,000.00","411,870.92",1.09
,AC FUND BALANCED,BONDS,CAYMAN ISLANDS,6.25%  - PETROBRAS GLOBAL FINANCE 11/26 -SR- ,GBP ,"550,000.00","694,752.38",1.84
,AC FUND BALANCED,BONDS,FRANCE,FRN  - SUB. SOCIETE GENERALE 86/PERP -JR- ,USD ,"600,000.00","325,082.19",0.86
,AC FUND BALANCED,BONDS,FRANCE,3.875%  - SUB. TOTAL 16/PERP '111' -JR- ,EUR ,"400,000.00","438,494.00",1.16
,AC FUND BALANCED,BONDS,HONG KONG,FRN  - SUB. HSBC HK 86/PERP '3H' -JR- ,USD ,"600,000.00","372,177.56",0.99
,AC FUND BALANCED,BONDS,IRELAND,4.75%  - CLOVERIE ZURICH INSURANCE 16/PERP ,USD ,"600,000.00","511,107.48",1.35
,AC FUND BALANCED,BONDS,JERSEY,2.65%  - UBS GROUP FUNDING 16/22 -SR-S ,USD ,"550,000.00","485,483.18",1.29
,AC FUND BALANCED,BONDS,LUXEMBOURG,4.25%  - GAZ CAPITAL -LPN- 17/24 -SR-S ,GBP ,"600,000.00","713,728.61",1.89
,AC FUND BALANCED,BONDS,NETHERLANDS,FRN  - SUB. ING GROEP 04/PERP -JR- ,EUR ,"800,000.00","557,084.80",1.48
,AC FUND BALANCED,BONDS,NETHERLANDS,FRN  - SUB. RABOBANK 13/PERP -JR- ,EUR ,"500,000.00","612,945.50",1.62
,AC FUND BALANCED,BONDS,NETHERLANDS,2.625%  - ADECCO IFS 17/21 -SR- ,USD ,"550,000.00","482,697.44",1.28
,AC FUND BALANCED,BONDS,NETHERLANDS,3.875%  - SUB. VOLKSWAGEN INTL FINANCE 17/PERP ,EUR ,"700,000.00","714,039.90",1.89
,AC FUND BALANCED,BONDS,NETHERLANDS,4.375%  - SUB. ARGENTUM NETHERLANDS 15/PERP -S- ,EUR ,"600,000.00","682,836.00",1.81
,AC FUND BALANCED,BONDS,NORWAY,FRN  - SUB. DNB BANK 86/PERP -JR- ,USD ,"600,000.00","331,244.99",0.88
,AC FUND BALANCED,BONDS,SINGAPORE,6.875%  - SUB. TRAFIGURA GROUP 17/PERP -S- ,USD ,"750,000.00","605,268.05",1.6
,AC FUND BALANCED,BONDS,SWITZERLAND,2.20%  - SUB. BALOISE LIFE 17/48 ,CHF ,"750,000.00","695,739.10",1.84
,AC FUND BALANCED,BONDS,UNITED KINGDOM,FRN  - SUB. ROTHSCHILD CONT. FIN. 04/PERP -JR-S ,EUR ,"500,000.00","351,144.50",0.93
,AC FUND BALANCED,BONDS,UNITED KINGDOM,7.25%  - SUB. BARCLAYS (COCO) 17/PERP -JR-S ,GBP ,"550,000.00","641,942.48",1.7
,AC FUND BALANCED,STRUCTURED PRODUCTS,GERMANY,GOLD (DEUTSCHE BOERSE COMMODITIES) CERT. 07/PERP ,EUR ,"52,000.00","2,071,992.00",5.5
,AC FUND BALANCED,STRUCTURED PRODUCTS,JERSEY,SILVER (ETFS) -ETC- CERT. 06/PERP ,EUR ,"50,000.00","632,750.00",1.68
,AC FUND BALANCED,II. OTHER TRANSFERABLE SECURITIES,UNITED ARAB EMIRATES,4.51%  - VONTOBEL (CFR/MC/UHR) 19/20 ,EUR ,"600,000.00","600,600.00",1.59
,AC FUND BALANCED,II. OTHER TRANSFERABLE SECURITIES,UNITED ARAB EMIRATES,4.61%  - VONTOBEL (ALV/CS/ZURN) 19/20 ,EUR ,"600,000.00","597,600.00",1.58
,AC FUND BALANCED,II. OTHER TRANSFERABLE SECURITIES,UNITED ARAB EMIRATES,7.845%  - VONTOBEL (GOOGL/AMZN/MSFT) 19/20 ,USD ,"750,000.00","656,612.22",1.74
,AC FUND BALANCED,II. OTHER TRANSFERABLE SECURITIES,UNITED ARAB EMIRATES,8.127%  - VONTOBEL (JNJ/MRK/PFE) 19/20 ,USD ,"750,000.00","649,367.76",1.72
,AC FUND BALANCED,II. OTHER TRANSFERABLE SECURITIES,UNITED ARAB EMIRATES,8.717%  - VONTOBEL (BMW/DAI/PAH3) 19/20 ,USD ,"750,000.00","645,416.23",1.71
,AC FUND BALANCED,III. UNITS OF INVESTMENT FUNDS,IRELAND,ECAMOS ICAV - EGO FUND 1.5X SEED EUR ,EUR ,400,"426,986.80",1.13
,AC FUND BALANCED,III. UNITS OF INVESTMENT FUNDS,IRELAND,JMS - ALPHACORE ONE D EUR HEDGED -ACC- ,EUR ,"3,999.73","911,698.46",2.42
,AC FUND BALANCED,III. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,PRIVILEDGE - SMAM JAP.S/M CAP N EUR H ,EUR ,"75,000.00","1,064,197.50",2.82
,AC FUND BALANCED,III. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,X-TRACKERS - MSCI AC ASIA EX JAPAN SWAP 1C ,USD ,"23,000.00","891,480.00",2.36
,AC FUND BALANCED,III. UNITS OF INVESTMENT FUNDS,SWITZERLAND,PVB ALEGRA CLO FUND I -ACC.- ,USD ,660.78,"1,003,515.76",2.66
,CROV,SHARES,FRANCE,CAPGEMINI ,EUR ,"1,350.00","147,622.50",1.36
,CROV,SHARES,FRANCE,TOTAL ,EUR ,"2,050.00","101,013.75",0.93
,CROV,SHARES,GERMANY,SIEMENS ,EUR ,930,"97,278.00",0.9
,CROV,SHARES,SWITZERLAND,NOVARTIS  ,CHF ,850,"68,286.01",0.63
,CROV,SHARES,SWITZERLAND,SWISS LIFE HOLDING ,CHF ,200,"87,145.26",0.8
,CROV,SHARES,SWITZERLAND,UBS GROUP REG. ,CHF ,"4,500.00","47,013.05",0.43
,CROV,SHARES,UNITED STATES,AMAZON.COM ,USD ,70,"116,398.05",1.07
,CROV,SHARES,UNITED STATES,APPLE ,USD ,550,"95,588.34",0.88
,CROV,SHARES,UNITED STATES,BANK OF AMERICA ,USD ,"5,000.00","127,327.01",1.18
,CROV,SHARES,UNITED STATES,COCA-COLA ,USD ,"2,600.00","116,255.71",1.07
,CROV,SHARES,UNITED STATES,MICROSOFT ,USD ,"1,100.00","129,395.86",1.19
,CROV,BONDS,CHILE,2.25%  - CODELCO 14/24 REG.S ,EUR ,"250,000.00","272,574.75",2.52
,CROV,BONDS,DENMARK,1.75%  - A.P. MOELLER-MAERSK 16/21 -SR-S ,EUR ,"300,000.00","309,543.90",2.86
,CROV,BONDS,EMERGING MARKETS,2.25%  - GAZ CAPITAL -LPN- 17/24 -SR-S ,EUR ,"300,000.00","312,132.90",2.88
,CROV,BONDS,FRANCE,1.125%  - BNP PARIBAS 17/23 -SR-S ,EUR ,"300,000.00","310,825.80",2.87
,CROV,BONDS,GERMANY,1.25%  - DEUTSCHE BANK 14/21 -SR-S ,EUR ,"300,000.00","300,537.00",2.77
,CROV,BONDS,GERMANY,2.375%  - O2 TELEFONICA D.F. 14/21 -SR-S ,EUR ,"300,000.00","311,895.60",2.88
,CROV,BONDS,GUERNSEY,1.25%  - CREDIT SUISSE GROUP FUNDING 15/22 -SR-S ,EUR ,"300,000.00","310,470.60",2.87
,CROV,BONDS,MEXICO,2.375%  - MEXICO 14/21 'A' -SR- ,EUR ,"300,000.00","313,113.90",2.89
,CROV,BONDS,NETHERLANDS,0.625%  - DAIMLER INTERNATIONAL FINANCE 19/23 -SR- ,EUR ,"300,000.00","305,336.40",2.82
,CROV,BONDS,NETHERLANDS,0.875%  - VOLKSWAGEN INTL 15/23 -SR-S ,EUR ,"300,000.00","306,948.60",2.83
,CROV,BONDS,SWITZERLAND,1.25%  - CS GROUP 17/25 -SR-S ,EUR ,"300,000.00","311,334.90",2.87
,CROV,BONDS,UNITED ARAB EMIRATES,1.75%  - EMIRATES NBD 15/22 -SR-S ,EUR ,"300,000.00","311,528.40",2.88
,CROV,BONDS,UNITED KINGDOM,0.875%  - BAT INTERNATIONAL FINANCE 15/23 -SR-S ,EUR ,"300,000.00","303,959.70",2.81
,CROV,BONDS,UNITED KINGDOM,0.875%  - ROLLS-ROYCE 18/24 -SR- ,EUR ,"300,000.00","308,526.30",2.85
,CROV,BONDS,UNITED KINGDOM,3.625%  - SUB. STANDARD CHARTERED 12/22 -JR-S ,EUR ,"300,000.00","332,133.60",3.07
,CROV,BONDS,UNITED STATES,FRN  - GOLDMAN SACHS GROUP 17/23 -SR- ,EUR ,"300,000.00","299,112.60",2.76
,CROV,BONDS,UNITED STATES,1.25%  - AMGEN 16/22 -SR- ,EUR ,"300,000.00","309,541.50",2.86
,CROV,BONDS,UNITED STATES,1.50%  - KRAFT HEINZ FOODS 16/24 -SR- ,EUR ,"300,000.00","310,939.80",2.87
,CROV,II. OTHER TRANSFERABLE SECURITIES,UNITED STATES,FRN  - AT&T 18/23 -SR- ,EUR ,"300,000.00","303,872.40",2.8
,CROV,III. UNITS OF INVESTMENT FUNDS,GLOBAL,JUPITER GF - DYNAMIC BOND D EUR -ACC- ,EUR ,"40,000.00","511,200.00",4.71
,CROV,III. UNITS OF INVESTMENT FUNDS,IRELAND,COMGEST GROWTH - EMERGING MARKETS I USD -ACC- ,USD ,"6,800.00","244,221.99",2.25
,CROV,III. UNITS OF INVESTMENT FUNDS,IRELAND,ISHARES S&P 500 UCITS ETF USD ,USD ,"5,000.00","128,270.99",1.18
,CROV,III. UNITS OF INVESTMENT FUNDS,IRELAND,NB INVESTMENT FUNDS - CORPORATE HYBRID FUND P EUR ,EUR ,"36,000.00","382,320.00",3.53
,CROV,III. UNITS OF INVESTMENT FUNDS,IRELAND,NEUBERGER BERMAN - E.M. DEBT HARD CURRENCY P USD ,USD ,"36,000.00","330,347.73",3.05
,CROV,III. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,AXA WF - GLOBAL INFLATION BONDS I EUR -CAP- ,EUR ,"2,100.00","336,546.00",3.11
,CROV,III. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,LGT (LUX) I - CAT BOND FUND B EUR -ACC- ,EUR ,"2,690.00","293,129.30",2.71
,CROV,III. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,PRIVILEDGE - DELAWARE US L/C VALUE M USD -ACC- ,USD ,"17,000.00","205,757.02",1.9
,CROV,III. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,UBS ETF - MSCI JAPAN HEDGED EUR A -ACC- ,EUR ,"1,900.00","36,738.40",0.34
,BAM US EQUITIES,SHARES,IRELAND,ACCENTURE 'A' ,USD ,"4,250.00","785,272.50",2.97
,BAM US EQUITIES,SHARES,IRELAND,MEDTRONIC ,USD ,"10,730.00","1,044,994.70",3.95
,BAM US EQUITIES,SHARES,NETHERLANDS,NXP SEMICONDUCTORS ,USD ,"4,050.00","395,320.50",1.5
,BAM US EQUITIES,SHARES,TAIWAN,TAIWAN SEMICONDUCTOR ADR -SPONS.- ,USD ,"12,600.00","493,542.00",1.87
,BAM US EQUITIES,SHARES,UNITED STATES,ABBOTT LABORATORIES ,USD ,"8,550.00","719,055.00",2.72
,BAM US EQUITIES,SHARES,UNITED STATES,ACTIVISION BLIZZARD ,USD ,"11,700.00","552,240.00",2.09
,BAM US EQUITIES,SHARES,UNITED STATES,ADVANCED MICRO DEVICES ,USD ,"37,130.00","1,127,638.10",4.27
,BAM US EQUITIES,SHARES,UNITED STATES,AGILENT TECHNOLOGIES ,USD ,"5,600.00","418,152.00",1.58
